text,arrayWords,arrayFeatures,arrayScaledFeatures
"The Project Gutenberg eBook of Alice’s Adventures in Wonderland, by Lewis Carroll","[the, project, gutenberg, ebook, of, alice’s, adventures, in, wonderland,, by, lewis, carroll]","[81.0,12.0]","[1.3028155760890054,0.6745153932746865]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
This eBook is for the use of anyone anywhere in the United States and,"[this, ebook, is, for, the, use, of, anyone, anywhere, in, the, united, states, and]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
most other parts of the world at no cost and with almost no restrictions,"[most, other, parts, of, the, world, at, no, cost, and, with, almost, no, restrictions]","[72.0,14.0]","[0.9973277235921453,1.0384566305038794]"
"whatsoever. You may copy it, give it away or re-use it under the terms","[whatsoever., you, may, copy, it,, give, it, away, or, re-use, it, under, the, terms]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
of the Project Gutenberg License included with this eBook or online at,"[of, the, project, gutenberg, license, included, with, this, ebook, or, online, at]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"www.gutenberg.org. If you are not located in the United States, you","[www.gutenberg.org., if, you, are, not, located, in, the, united, states,, you]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
will have to check the laws of the country where you are located before,"[will, have, to, check, the, laws, of, the, country, where, you, are, located, before]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
using this eBook.,"[using, this, ebook.]","[17.0,3.0]","[-0.8695424861108895,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Title: Alice’s Adventures in Wonderland,"[title:, alice’s, adventures, in, wonderland]","[39.0,5.0]","[-0.12279440222967557,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Author: Lewis Carroll,"[author:, lewis, carroll]","[21.0,3.0]","[-0.7337701072233961,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Release Date: January, 1991 [eBook #11]","[release, date:, january,, 1991, [ebook, #11]]","[39.0,6.0]","[-0.12279440222967557,-0.4173083184128922]"
"[Most recently updated: October 12, 2020]","[[most, recently, updated:, october, 12,, 2020]]","[41.0,6.0]","[-0.05490821278592884,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Language: English,"[language:, english]","[17.0,2.0]","[-0.8695424861108895,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Character set encoding: UTF-8,"[character, set, encoding:, utf-8]","[29.0,4.0]","[-0.46222534944840915,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Produced by: Arthur DiBianca and David Widger,"[produced, by:, arthur, dibianca, and, david, widger]","[45.0,7.0]","[0.08086416610156459,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
*** START OF THE PROJECT GUTENBERG EBOOK ALICE’S ADVENTURES IN WONDERLAND ***,"[***, start, of, the, project, gutenberg, ebook, alice’s, adventures, in, wonderland, ***]","[77.0,12.0]","[1.167043197201512,0.6745153932746865]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
[Illustration],[[illustration]],"[14.0,1.0]","[-0.9713717702765096,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Alice’s Adventures in Wonderland,"[alice’s, adventures, in, wonderland]","[32.0,4.0]","[-0.36039606528278906,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
by Lewis Carroll,"[by, lewis, carroll]","[16.0,3.0]","[-0.9034855808327629,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
THE MILLENNIUM FULCRUM EDITION 3.0,"[the, millennium, fulcrum, edition, 3.0]","[34.0,5.0]","[-0.29250987583904237,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Contents,[contents],"[8.0,1.0]","[-1.1750303386077496,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
CHAPTER I.     Down the Rabbit-Hole,"[, chapter, i., , , , , down, the, rabbit-hole]","[36.0,10.0]","[-0.22462368639529565,0.31057415604549354]"
CHAPTER II.    The Pool of Tears,"[, chapter, ii., , , , the, pool, of, tears]","[33.0,10.0]","[-0.3264529705609157,0.31057415604549354]"
CHAPTER III.   A Caucus-Race and a Long Tale,"[, chapter, iii., , , a, caucus-race, and, a, long, tale]","[45.0,11.0]","[0.08086416610156459,0.49254477466009]"
CHAPTER IV.    The Rabbit Sends in a Little Bill,"[, chapter, iv., , , , the, rabbit, sends, in, a, little, bill]","[49.0,13.0]","[0.21663654498905804,0.8564860118892829]"
CHAPTER V.     Advice from a Caterpillar,"[, chapter, v., , , , , advice, from, a, caterpillar]","[41.0,11.0]","[-0.05490821278592884,0.49254477466009]"
CHAPTER VI.    Pig and Pepper,"[, chapter, vi., , , , pig, and, pepper]","[30.0,9.0]","[-0.4282822547265358,0.1286035374308971]"
CHAPTER VII.   A Mad Tea-Party,"[, chapter, vii., , , a, mad, tea-party]","[31.0,8.0]","[-0.39433916000466246,-0.053367081183699316]"
CHAPTER VIII.  The Queen’s Croquet-Ground,"[, chapter, viii., , the, queen’s, croquet-ground]","[42.0,7.0]","[-0.02096511806405548,-0.23533769979829575]"
CHAPTER IX.    The Mock Turtle’s Story,"[, chapter, ix., , , , the, mock, turtle’s, story]","[39.0,10.0]","[-0.12279440222967557,0.31057415604549354]"
CHAPTER X.     The Lobster Quadrille,"[, chapter, x., , , , , the, lobster, quadrille]","[37.0,10.0]","[-0.19068059167342227,0.31057415604549354]"
CHAPTER XI.    Who Stole the Tarts?,"[, chapter, xi., , , , who, stole, the, tarts?]","[36.0,10.0]","[-0.22462368639529565,0.31057415604549354]"
CHAPTER XII.   Alice’s Evidence,"[, chapter, xii., , , alice’s, evidence]","[32.0,7.0]","[-0.36039606528278906,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
CHAPTER I.,"[chapter, i.]","[10.0,2.0]","[-1.107144149164003,-1.145190792871278]"
Down the Rabbit-Hole,"[down, the, rabbit-hole]","[20.0,3.0]","[-0.7677132019452694,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Alice was beginning to get very tired of sitting by her sister on the,"[alice, was, beginning, to, get, very, tired, of, sitting, by, her, sister, on, the]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"bank, and of having nothing to do: once or twice she had peeped into","[bank,, and, of, having, nothing, to, do:, once, or, twice, she, had, peeped, into]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"the book her sister was reading, but it had no pictures or","[the, book, her, sister, was, reading,, but, it, had, no, pictures, or]","[58.0,12.0]","[0.5221243974859183,0.6745153932746865]"
"conversations in it, “and what is the use of a book,” thought Alice","[conversations, in, it,, “and, what, is, the, use, of, a, book,”, thought, alice]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
“without pictures or conversations?”,"[“without, pictures, or, conversations?”]","[36.0,4.0]","[-0.22462368639529565,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"So she was considering in her own mind (as well as she could, for the","[so, she, was, considering, in, her, own, mind, (as, well, as, she, could,, for, the]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"hot day made her feel very sleepy and stupid), whether the pleasure of","[hot, day, made, her, feel, very, sleepy, and, stupid),, whether, the, pleasure, of]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
making a daisy-chain would be worth the trouble of getting up and,"[making, a, daisy-chain, would, be, worth, the, trouble, of, getting, up, and]","[65.0,12.0]","[0.7597260605390318,0.6745153932746865]"
"picking the daisies, when suddenly a White Rabbit with pink eyes ran","[picking, the, daisies,, when, suddenly, a, white, rabbit, with, pink, eyes, ran]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
close by her.,"[close, by, her.]","[13.0,3.0]","[-1.005314864998383,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
