Quantity,day_of_week,day_of_week_index,InvoiceNo
-12,Monday,3.0,C539486
-11,Monday,3.0,C539486
-23,Monday,3.0,C539486
-24,Monday,3.0,C539486
4,Monday,3.0,539487
8,Monday,3.0,539487
12,Monday,3.0,539487
3,Monday,3.0,539487
24,Monday,3.0,539487
4,Monday,3.0,539487
6,Monday,3.0,539487
6,Monday,3.0,539487
2,Monday,3.0,539487
6,Monday,3.0,539487
8,Monday,3.0,539488
16,Monday,3.0,539488
24,Monday,3.0,539488
24,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
24,Monday,3.0,539488
24,Monday,3.0,539488
24,Monday,3.0,539488
24,Monday,3.0,539488
24,Monday,3.0,539488
24,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
24,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
24,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
4,Monday,3.0,539488
4,Monday,3.0,539488
4,Monday,3.0,539488
4,Monday,3.0,539488
4,Monday,3.0,539488
4,Monday,3.0,539488
24,Monday,3.0,539488
24,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
4,Monday,3.0,539488
12,Monday,3.0,539488
12,Monday,3.0,539488
6,Monday,3.0,539489
120,Monday,3.0,539489
6,Monday,3.0,539490
3,Monday,3.0,539490
8,Monday,3.0,539490
4,Monday,3.0,539490
12,Monday,3.0,539490
12,Monday,3.0,539490
6,Monday,3.0,539490
6,Monday,3.0,539490
12,Monday,3.0,539490
6,Monday,3.0,539490
6,Monday,3.0,539490
12,Monday,3.0,539490
12,Monday,3.0,539490
12,Monday,3.0,539490
12,Monday,3.0,539490
12,Monday,3.0,539491
12,Monday,3.0,539491
2,Monday,3.0,539491
1,Monday,3.0,539491
2,Monday,3.0,539491
1,Monday,3.0,539491
2,Monday,3.0,539491
1,Monday,3.0,539491
2,Monday,3.0,539491
2,Monday,3.0,539491
2,Monday,3.0,539491
2,Monday,3.0,539491
2,Monday,3.0,539491
1,Monday,3.0,539491
1,Monday,3.0,539491
1,Monday,3.0,539491
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
6,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
4,Monday,3.0,539492
5,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
6,Monday,3.0,539492
2,Monday,3.0,539492
6,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
