x1,x2,x3,y
0,30,-20,40.8889
1,31,-19,50.5908
2,32,-18,60.9705
3,33,-17,70.5231
4,34,-16,80.433
5,35,-15,89.9027
6,36,-14,99.851
7,37,-13,110.1946
8,38,-12,119.9335
9,39,-11,130.6334
10,40,-10,140.8116
11,41,-9,149.7604
12,42,-8,160.4965
13,43,-7,170.6938
14,44,-6,179.5845
15,45,-5,190.9175
16,46,-4,199.0667
17,47,-3,210.6009
18,48,-2,220.3495
19,49,-1,229.7651
20,50,0,239.6535
21,51,1,250.1175
22,52,2,260.4692
23,53,3,269.9913
24,54,4,280.8785
25,55,5,290.5161
26,56,6,300.7585
27,57,7,309.6663
28,58,8,319.0096
29,59,9,330.4403
30,60,10,340.6414
31,61,11,349.3887
32,62,12,359.6724
33,63,13,370.6803
34,64,14,380.3056
35,65,15,389.6617
36,66,16,400.9072
37,67,17,410.3798
38,68,18,419.8318
39,69,19,429.6909
40,70,20,439.1763
41,71,21,449.5816
42,72,22,459.5951
43,73,23,470.0086
44,74,24,480.0611
45,75,25,489.0819
46,76,26,499.4123
47,77,27,509.1237
48,78,28,519.0926
49,79,29,529.5159
50,80,30,539.14
51,81,31,549.0031
52,82,32,560.2373
53,83,33,569.1548
54,84,34,580.7078
55,85,35,589.3663
56,86,36,600.7587
57,87,37,610.4602
58,88,38,619.8874
59,89,39,630.9531
60,90,40,640.9603
61,91,41,650.8466
62,92,42,660.0099
63,93,43,670.1295
64,94,44,679.8693
65,95,45,689.6434
66,96,46,699.5764
67,97,47,710.193
68,98,48,719.3931
69,99,49,730.6565
70,100,50,740.8721
71,101,51,750.8822
72,102,52,760.0263
73,103,53,769.1569
74,104,54,779.331
75,105,55,789.8602
76,106,56,799.2808
77,107,57,809.7397
78,108,58,819.4356
79,109,59,829.7639
80,110,60,840.8281
81,111,61,850.4078
82,112,62,860.0031
83,113,63,869.4783
84,114,64,879.6006
85,115,65,889.9083
86,116,66,900.506
87,117,67,909.4666
88,118,68,919.7783
89,119,69,929.608
90,120,70,940.5209
91,121,71,949.1134
92,122,72,959.009
93,123,73,970.1443
94,124,74,979.1356
95,125,75,990.3191
96,126,76,1000.164
97,127,77,1010.0501
98,128,78,1019.617
99,129,79,1030.219
